Z,[M|H],g_13,Mbol,delta Mbol
0.0001,-2.156,0.0,-3.426,0.000
0.0001,-2.156,0.5,-3.455,0.029
0.0001,-2.156,1.0,-3.510,0.084
0.0001,-2.156,1.5,-3.591,0.165
0.0001,-2.156,2.0,-3.699,0.273
0.0001,-2.156,2.5,-3.799,0.373
0.0001,-2.156,3.0,-3.901,0.474
0.0001,-2.156,4.0,-4.082,0.656
0.0001,-2.156,6.0,-4.365,0.939
0.001,-1.156,0.0,-3.643,0.000
0.001,-1.156,0.5,-3.667,0.024
0.001,-1.156,1.0,-3.715,0.072
0.001,-1.156,1.5,-3.791,0.148
0.001,-1.156,2.0,-3.881,0.237
0.001,-1.156,2.5,-3.972,0.328
0.001,-1.156,3.0,-4.062,0.419
0.001,-1.156,4.0,-4.228,0.585
0.001,-1.156,6.0,-4.513,0.870
0.006,-0.374,0.0,-3.793,0.000
0.006,-0.374,0.5,-3.815,0.022
0.006,-0.374,1.0,-3.855,0.062
0.006,-0.374,1.5,-3.915,0.123
0.006,-0.374,2.0,-3.995,0.202
0.006,-0.374,2.5,-4.074,0.281
0.006,-0.374,3.0,-4.157,0.364
0.006,-0.374,4.0,-4.315,0.522
0.006,-0.374,6.0,-4.581,0.788
